game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-08,8478440,D. Strome,C,3.0,10.92517,7.1597476
2025-11-08,8478443,B. Carlo,D,3.3,7.3547716,4.7435493
2025-11-08,8478444,B. Boeser,R,12.0,13.951468,11.371581
2025-11-08,8478445,M. Barzal,C,9.3,10.235225,7.034673
2025-11-08,8478449,R. Hintz,C,11.0,12.108,7.821607
2025-11-08,8478450,P. Wotherspoon,D,2.8,4.95794,3.5179687
2025-11-08,8478454,N. Juulsen,D,5.0,1.0713176,1.6577209
2025-11-08,8478458,J. Roslovic,C,1.5,6.6641498,5.5706477
2025-11-08,8478460,Z. Werenski,D,7.3,16.126234,10.365832
2025-11-08,8478462,N. Roy,C,6.5,2.7607942,2.3497796
2025-11-08,8478463,A. Beauvillier,L,2.3,6.0833015,5.5551553
2025-11-08,8478468,J. Lauzon,D,4.3,6.5999002,4.710152
2025-11-08,8478469,T. Chabot,D,15.5,9.567895,5.640296
2025-11-08,8478472,M. Joseph,R,0.0,10.020136,8.0967865
2025-11-08,8478474,L. Crouse,L,10.0,7.6292105,6.6039586
2025-11-08,8478483,M. Marner,R,9.3,15.454953,10.464384
2025-11-08,8478498,J. DeBrusk,L,12.0,9.3849325,7.143744
2025-11-08,8478500,I. Provorov,D,1.0,11.789884,7.4145713
2025-11-08,8478507,J. Marino,D,1.5,5.1391006,3.881687
2025-11-08,8478542,E. Rodrigues,C,5.0,9.267445,6.406712
2025-11-08,8478550,A. Panarin,L,9.5,9.292538,5.97452
2025-11-08,8478831,K. Stenlund,C,7.1,2.5209572,2.6461773
2025-11-08,8478840,W. Borgen,D,2.8,3.4143093,2.8765817
2025-11-08,8478841,C. White,D,1.5,1.5236194,0.53762084
2025-11-08,8478851,A. Carrier,D,8.6,5.2236032,3.9590633
2025-11-08,8478854,R. Shea,D,6.6,7.741233,5.8223677
2025-11-08,8478856,C. Garland,R,12.0,15.240639,10.82556
2025-11-08,8478859,N. Mikkola,D,12.4,7.1923137,5.1364465
2025-11-08,8478873,T. Terry,R,7.5,13.694187,8.564197
2025-11-08,8478874,A. Gaudette,R,12.0,3.531363,4.1285925
2025-11-08,8478882,V. Gavrikov,D,6.3,5.3239965,3.9377773
2025-11-08,8478904,S. Lorentz,C,0.3,4.799936,4.188829
2025-11-08,8478911,M. Roy,D,11.4,10.518671,6.669039
2025-11-08,8478975,M. Marchment,L,3.0,2.0510085,1.8851271
2025-11-08,8479022,R. Abols,C,1.5,1.1576576,1.5690997
2025-11-08,8479026,P. Myers,D,-1.0,3.3299701,2.2770655
2025-11-08,8479293,B. Tanev,L,-1.0,0.72128797,1.2575829
2025-11-08,8479318,A. Matthews,C,12.9,14.308587,9.637546
2025-11-08,8479323,A. Fox,D,5.6,8.240991,4.587878
2025-11-08,8479324,R. Lindgren,D,0.8,2.5204968,2.1665008
2025-11-08,8479336,C. Grundstrom,R,1.3,0.4936176,0.56208163
2025-11-08,8479343,C. Keller,R,5.0,7.6228065,4.914359
2025-11-08,8479345,J. Chychrun,D,10.5,11.320584,6.2572684
2025-11-08,8479351,S. Steel,C,11.3,6.0301166,5.522071
2025-11-08,8479353,B. Howden,C,12.5,5.4070997,5.45263
2025-11-08,8479359,B. Malenstyn,L,0.0,2.2748165,2.008182
2025-11-08,8479365,T. Frederic,C,0.5,0.23650378,1.1067595
2025-11-08,8479369,A. Peeke,D,8.4,6.433651,4.593245
2025-11-08,8479370,T. Jost,C,1.5,1.0034102,1.2884569
2025-11-08,8479371,D. Fabbro,D,0.3,8.545887,6.2547674
2025-11-08,8479385,J. Kyrou,R,16.3,7.307767,5.562372
2025-11-08,8479390,T. Raddysh,R,1.0,5.438795,4.9472356
2025-11-08,8479393,N. Gregor,L,0.8,1.3563349,1.1631827
2025-11-08,8479395,D. Cholowski,D,-0.5,5.0095177,3.7392852
2025-11-08,8479407,J. Bratt,L,0.0,7.2630653,5.6279607
2025-11-08,8479410,M. Sergachev,D,1.3,7.6789107,4.6190915
2025-11-08,8479420,T. Thompson,C,20.8,13.848746,8.764097
2025-11-08,8479425,F. Hronek,D,7.8,9.133948,5.6335135
2025-11-08,8479520,B. Duhaime,R,10.5,1.714458,2.8052409
2025-11-08,8479525,R. Colton,C,15.5,7.352568,6.160903
2025-11-08,8479533,J. Koppanen,L,-0.5,0.34523916,0.79181015
2025-11-08,8479542,B. Hagel,L,19.5,15.072687,11.649742
